rank,stock_id,stock_name,market,listed_market,official_industry_raw,normalized_industry,listing_date,is_active_latest_price,latest_price_date,latest_close,revenue_12m,revenue_month_count,revenue_period_start,revenue_period_end,ranking_basis,source,source_date,quality_note
,5230,雷笛克光學,tpex,上櫃,光電業,光電業,2012-06-05,true,2026-07-29,17.0,1321525000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5234,達興材料,twse,上市,光電業,光電業,2012-07-16,true,2026-07-29,298.5,4725018000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5240,建騰,emerging,emerging,光電業,光電業,,true,2026-07-29,15.35,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5243,乙盛-KY,twse,上市,光電業,光電業,2013-11-25,true,2026-07-29,74.8,11758805000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5244,弘凱,twse,上市,光電業,光電業,2022-01-19,true,2026-07-29,29.3,824395000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5245,智晶,tpex,上櫃,光電業,光電業,2015-05-25,true,2026-07-29,22.5,734041000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5248,景傳,emerging,emerging,光電業,光電業,,true,2026-07-29,37.0,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5251,天鉞電,tpex,上櫃,光電業,光電業,2012-11-26,true,2026-07-29,24.95,297414000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5259,奕智博,twse,上市,光電業,光電業,,false,2026-07-09,11.3,68305000,12,2019-02-01,2020-01-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5267,龍翩,emerging,emerging,光電業,光電業,,true,2026-07-29,41.95,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5277,葳天,emerging,emerging,光電業,光電業,,false,2025-07-23,9.0,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5281,大峽谷-KY,tpex,上櫃,光電業,光電業,,false,2023-10-24,15.8,614936000,12,2022-11-01,2023-10-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5315,光聯,tpex,上櫃,光電業,光電業,1996-11-02,true,2026-07-29,18.55,1960600000,12,2025-06-01,2026-05-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5392,能率,tpex,上櫃,光電業,光電業,1999-06-14,true,2026-07-29,36.25,8736321000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5432,新門,tpex,上櫃,光電業,光電業,2000-03-21,true,2026-07-29,102.0,201845000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5443,均豪,tpex,上櫃,光電業,光電業,1998-02-09,true,2026-07-29,82.8,4866413000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,5484,慧友,twse,上市,光電業,光電業,2003-08-25,true,2026-07-29,37.55,600479000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6116,彩晶,twse,上市,光電業,光電業,2004-09-06,true,2026-07-29,11.95,11601553000,12,2025-06-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6120,達運,twse,上市,光電業,光電業,2006-09-13,true,2026-07-29,11.6,16876865000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6125,廣運,tpex,上櫃,光電業,光電業,2026-06-01,true,2026-07-29,44.3,3524706000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6131,鈞泰,twse,上市,光電業,光電業,,false,2026-07-09,18.9,43232000,12,2020-07-01,2021-06-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6164,華興,twse,上市,光電業,光電業,2008-10-21,true,2026-07-29,11.05,712939000,12,2025-06-01,2026-05-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6167,久正,tpex,上櫃,光電業,光電業,2002-03-26,true,2026-07-29,10.0,1275321000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6168,宏齊,twse,上市,光電業,光電業,2003-08-25,true,2026-07-29,20.05,2105322000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6209,今國光,twse,上市,光電業,光電業,2004-11-08,true,2026-07-29,63.0,4027610000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6222,立軒,tpex,上櫃,光電業,光電業,2003-01-09,true,2026-07-29,20.45,2581000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6225,天瀚,twse,上市,光電業,光電業,2004-09-27,true,2026-07-29,23.25,51245000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6226,光鼎,twse,上市,光電業,光電業,2008-11-10,true,2026-07-29,22.55,603312000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6234,高僑,tpex,上櫃,光電業,光電業,2003-03-12,true,2026-07-29,31.95,515224000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6244,茂迪,tpex,上櫃,光電業,光電業,2003-05-15,true,2026-07-29,21.15,3030659000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6246,臺龍,tpex,上櫃,光電業,光電業,2003-06-18,true,2026-07-29,11.95,1516706000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6255,奈普,twse,上市,光電業,光電業,,false,,,674643000,12,2008-10-01,2009-09-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6289,華上,twse,上市,光電業,光電業,,false,2026-07-09,2.13,39766000,12,2021-10-01,2022-09-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6405,悅城,twse,上市,光電業,光電業,2013-11-28,true,2026-07-29,33.85,674000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6419,京晨科,tpex,上櫃,光電業,光電業,2014-12-29,true,2026-07-29,120.5,590035000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6431,光麗-KY,twse,上市,光電業,光電業,2014-12-04,true,2026-07-29,16.4,358260000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6434,達輝光電,emerging,emerging,光電業,光電業,,true,2026-07-29,10.1,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6443,元晶,twse,上市,光電業,光電業,2015-10-01,true,2026-07-29,23.55,1489886000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6477,安集,twse,上市,光電業,光電業,2016-06-21,true,2026-07-29,34.25,909675000,12,2025-06-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6498,久禾光,tpex,上櫃,光電業,光電業,2025-05-20,true,2026-07-29,70.0,1324711000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6517,保勝光學,tpex,上櫃,光電業,光電業,2022-12-15,true,2026-07-29,64.9,465854000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6556,勝品,tpex,上櫃,光電業,光電業,2017-10-31,true,2026-07-29,64.6,1405747000,12,2025-05-01,2026-04-01,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
,6559,研晶,emerging,emerging,光電業,光電業,,true,2026-07-29,14.45,,0,,,not_ranked_or_inactive,V5 SQLite TaiwanStockInfo/TaiwanStockMonthRevenue/TaiwanStockPrice,2026-07-29,官方母體與暫排行；產品子題待後續熱力圖輪到時補官方產品頁與細分分類。
