排行,股票代號,股票名稱,產業別,股價,投資組別,MA240乖離%,現金殖利率(5年均)%,盈餘發放率%,殖利率趨勢,連續配息年,填息均天數,連續獲利年,ROA(10年均)%,ROA趨勢,本業佔比,融資維持率%,預估進場價,融資追繳警戒價,通過條件數,C1>4%,C2填息,C3連配,C4上市,C5連獲,C6_ROA,C7本業,C8發放
71,3646,艾恩特,電子零組件業,23.2,價值,-10.19,6.74,95.5,上升,9,58.2,11,6.76,下降,76.7,164.9,31.28,18.29,7,Y,N,Y,Y,Y,Y,Y,Y
72,6146,耕興,其他電子類,192.5,強勢,3.9,5.1,82.4,上升,11,28.4,12,17.28,下降,97.3,154.2,196.33,162.29,7,Y,N,Y,Y,Y,Y,Y,Y
73,9940,信義,其他,20.15,價值,-7.75,8.02,76.4,上升,11,65.5,12,5.26,下降,85.2,173.2,32.33,15.13,7,Y,N,Y,Y,Y,Y,Y,Y
74,3546,宇峻,文化創意業,72.6,價值,-6.67,5.69,80.8,下降,10,98.0,10,13.29,下降,88.6,155.5,82.6,60.7,7,Y,N,Y,Y,Y,Y,Y,Y
75,2904,匯僑,其他,13.6,價值,-17.6,7.05,70.5,下降,11,86.7,12,7.03,下降,89.4,156.2,19.17,11.32,7,Y,N,Y,Y,Y,Y,Y,Y
76,1612,宏泰,電器電纜,31.4,價值,-13.19,6.42,86.5,上升,11,84.3,12,8.66,下降,32.4,144.9,40.33,28.17,7,Y,Y,Y,Y,Y,Y,N,Y
77,1730,花仙子,化學生技醫療,51.4,價值,-2.58,6.05,72.8,下降,11,186.0,12,11.62,上升,85.6,163.1,62.2,40.97,7,Y,N,Y,Y,Y,Y,Y,Y
78,5522,遠雄,建材營造,66.1,價值,-0.1,6.58,71.5,下降,11,22.5,12,4.16,下降,102.8,156.4,87.0,54.94,7,Y,N,Y,Y,Y,Y,Y,Y
79,6138,茂達,半導體業,340.0,強勢,38.8,2.19,76.9,上升,10,14.8,13,14.98,下降,92.7,175.5,148.77,251.91,7,N,Y,Y,Y,Y,Y,Y,Y
80,2496,卓越,其他,60.4,價值,-9.87,6.45,80.0,下降,8,78.5,10,7.72,上升,96.1,157.1,77.91,49.97,7,Y,N,Y,Y,Y,Y,Y,Y
81,2608,嘉里大榮,航運業,29.1,價值,-9.63,6.23,66.4,上升,11,60.0,12,7.1,下降,94.8,164.8,36.27,22.95,7,Y,N,Y,Y,Y,Y,Y,Y
82,6248,沛波,鋼鐵工業,17.7,價值,-12.3,9.06,61.2,上升,6,148.3,12,5.09,上升,131.4,159.3,32.07,14.45,7,Y,N,Y,Y,Y,Y,Y,Y
83,2029,盛餘,鋼鐵工業,20.5,價值,-3.75,5.84,68.3,上升,11,24.8,10,5.29,下降,213.1,166.3,23.93,16.03,7,Y,N,Y,Y,Y,Y,Y,Y
84,6412,群電,電子零組件業,82.2,價值,-10.98,6.24,72.0,上升,11,97.8,13,8.63,下降,91.2,149.5,102.67,71.49,7,Y,N,Y,Y,Y,Y,Y,Y
85,4908,前鼎,通信網路業,144.5,強勢,21.28,1.39,82.2,下降,10,6.5,12,9.27,下降,93.1,116.5,40.2,161.19,7,N,Y,Y,Y,Y,Y,Y,Y
86,1264,德麥,食品工業,258.0,價值,-9.39,5.14,73.3,上升,11,94.5,12,16.74,下降,99.1,159.5,265.0,210.24,7,Y,N,Y,Y,Y,Y,Y,Y
87,3529,力旺,半導體業,2600.0,強勢,5.26,0.63,84.9,上升,11,8.5,13,34.41,上升,95.5,130.6,329.98,2588.95,7,N,Y,Y,Y,Y,Y,Y,Y
88,6411,晶焱,半導體業,82.5,強勢,1.57,4.95,66.2,上升,10,26.8,12,11.59,連續下降,89.7,148.7,81.63,72.13,7,Y,Y,Y,Y,Y,Y,N,Y
89,6223,旺矽,半導體業,6000.0,強勢,85.64,0.17,57.7,下降,11,1.5,12,8.97,上升,93.3,166.7,203.28,4677.72,7,N,Y,Y,Y,Y,Y,Y,Y
90,2474,可成,電子工業,193.0,價值,-2.9,5.9,74.8,下降,11,58.0,12,6.83,下降,58.4,157.4,227.71,159.37,7,Y,Y,Y,Y,Y,Y,N,Y
91,4105,東洋,生技醫療業,77.0,價值,-1.93,4.89,82.5,上升,11,66.8,12,12.58,上升,77.8,170.7,75.33,58.62,7,Y,N,Y,Y,Y,Y,Y,Y
92,3570,大塚,資訊服務業,165.0,價值,-7.5,4.59,69.0,下降,11,60.8,12,13.65,上升,98.1,159.8,151.33,134.26,7,Y,N,Y,Y,Y,Y,Y,Y
93,6803,崑鼎,綠能環保類,270.0,價值,-7.23,5.06,88.4,上升,11,78.0,12,11.78,上升,93.2,158.1,273.04,221.96,7,Y,N,Y,Y,Y,Y,Y,Y
94,1817,凱撒衛,玻璃陶瓷,38.7,價值,-0.4,5.33,58.3,上升,11,92.0,12,10.19,上升,97.0,164.4,41.23,30.6,7,Y,N,Y,Y,Y,Y,Y,Y
95,2330,台積電,電子工業,2400.0,強勢,37.65,0.55,39.4,下降,11,9.1,12,19.07,上升,96.0,171.1,263.33,1823.12,7,N,Y,Y,Y,Y,Y,Y,Y
96,4107,邦特,生技醫療業,118.5,價值,-0.41,3.8,65.4,上升,10,23.0,12,12.85,下降,97.8,169.4,90.0,90.93,7,N,Y,Y,Y,Y,Y,Y,Y
97,1788,杏昌,生技醫療業,130.0,價值,-4.63,5.36,81.9,上升,11,61.3,12,8.12,下降,94.0,162.9,139.24,103.72,7,Y,N,Y,Y,Y,Y,Y,Y
98,8416,實威,資訊服務業,169.5,價值,-2.21,4.67,71.4,下降,11,126.2,12,19.21,下降,93.5,162.5,158.33,135.64,7,Y,N,Y,Y,Y,Y,Y,Y
99,4535,至興,電機機械,27.3,價值,-4.31,5.07,63.8,上升,11,41.0,12,7.3,下降,92.8,165.7,27.67,21.42,7,Y,N,Y,Y,Y,Y,Y,Y
100,1227,佳格,食品工業,29.95,價值,-0.43,5.57,80.6,下降,10,130.5,12,9.06,下降,91.5,172.0,33.36,22.64,7,Y,N,Y,Y,Y,Y,Y,Y
101,5213,亞昕,建材營造,22.2,價值,-11.43,6.93,93.9,下降,6,24.4,12,1.7,上升,123.9,152.1,30.76,18.97,7,Y,Y,Y,Y,Y,N,Y,Y
102,8996,高力,電機機械,1080.0,強勢,42.71,0.27,73.8,下降,11,2.4,12,7.53,上升,106.0,148.7,57.53,944.1,7,N,Y,Y,Y,Y,Y,Y,Y
103,3413,京鼎,半導體業,363.0,強勢,18.09,3.04,52.9,上升,11,23.3,12,12.45,下降,94.0,187.1,220.57,252.2,7,N,Y,Y,Y,Y,Y,Y,Y
104,5403,中菲,資訊服務業,95.5,價值,-12.95,5.15,67.6,上升,11,115.0,12,9.91,上升,89.4,173.4,98.36,71.6,7,Y,N,Y,Y,Y,Y,Y,Y
105,3131,弘塑,其他電子類,3010.0,強勢,42.74,0.56,74.5,下降,10,6.3,12,9.29,下降,95.7,158.0,336.0,2476.89,7,N,Y,Y,Y,Y,Y,Y,Y
106,8401,白紗科,其他,23.05,價值,-14.21,5.71,69.2,上升,11,72.8,12,6.37,上升,107.2,165.1,26.32,18.15,7,Y,N,Y,Y,Y,Y,Y,Y
107,4915,致伸,電子零組件業,66.3,價值,-13.4,5.72,70.3,上升,11,55.4,12,5.16,上升,87.1,153.6,75.91,56.11,7,Y,N,Y,Y,Y,Y,Y,Y
108,5478,智冠,文化創意業,99.6,價值,-1.85,6.31,85.6,下降,11,102.8,12,5.35,上升,83.7,164.8,125.67,78.56,7,Y,N,Y,Y,Y,Y,Y,Y
109,5016,松和,鋼鐵工業,24.35,價值,-3.91,6.57,69.1,下降,11,120.8,12,5.03,下降,102.6,161.8,32.0,19.56,7,Y,N,Y,Y,Y,Y,Y,Y
110,6266,泰詠,電子零組件業,25.05,價值,-12.6,5.3,63.1,上升,11,104.0,12,7.91,上升,92.1,157.1,26.53,20.72,7,Y,N,Y,Y,Y,Y,Y,Y
111,3653,健策,電子零組件業,3500.0,強勢,18.32,0.27,64.7,下降,10,8.7,12,12.22,上升,94.6,156.6,192.05,2904.85,7,N,Y,Y,Y,Y,Y,Y,Y
112,6570,維田,電腦及週邊設備業,52.0,強勢,21.24,4.21,85.6,上升,11,24.3,11,7.81,下降,98.2,170.6,43.78,39.62,7,Y,Y,Y,N,Y,Y,Y,Y
113,1712,興農,化學生技醫療,38.85,價值,-9.24,5.88,89.7,下降,11,112.8,12,5.83,上升,106.9,161.6,45.67,31.26,7,Y,N,Y,Y,Y,Y,Y,Y
114,6469,大樹,生技醫療業,78.1,價值,-22.29,3.88,50.9,連續上升,10,9.8,12,5.98,下降,87.4,173.9,60.61,58.39,7,N,Y,Y,Y,Y,Y,Y,Y
115,3014,聯陽,電子工業,133.0,強勢,2.99,5.33,79.6,上升,11,44.8,12,14.93,下降,97.8,153.8,141.67,112.4,7,Y,N,Y,Y,Y,Y,Y,Y
116,3526,凡甲,電子零組件業,309.0,強勢,11.37,3.22,83.0,上升,11,34.7,13,15.03,下降,91.5,151.0,199.05,265.95,7,N,Y,Y,Y,Y,Y,Y,Y
117,8183,精星,其他電子類,31.25,價值,-3.06,4.19,37.3,連續上升,10,32.8,11,6.56,連續下降,90.5,160.0,26.18,25.39,7,Y,Y,Y,Y,Y,Y,N,Y
