排行,代號,名稱,產業,目前股價,MA240,240MA乖離率,配息頻率,指標1得分(殖利率),指標2得分(填息),指標3得分(連續配息),指標4得分(上市時間),指標5得分(連續獲利),指標6得分(ROA),指標7得分(本業佔比),總分,評級,原始評級,5年平均殖利率,5年平均填息天數,10年平均ROA,平均本業佔比,近3月營收YoY,最新月MoM,備註
117,3264,欣銓,半導體,234.5,128.35750000000002,82.69286952457003,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.770563341271846,147.0,7.822563224815469,0.9782832211782893,23.9881882276334,12.698434092092924,
118,3147,大綜,電子,340.0,183.69123166666668,85.09321153498352,年配,1,1,1,0,1,1,1,6.0,入選,入選,4.831928777596358,50.2,8.207164553250688,0.8882843153655011,-5.263769389392847,12.371433316814496,
119,3485,敘豐,電子,292.0,151.98730791666668,92.12130539222464,年配,2,1,1,0,1,1,1,7.0,入選,入選,6.924937010549529,110.0,8.32887122970556,0.8338327499720547,,,
120,3008,大立光,電子,4900.0,2535.1041320833333,93.2859458508006,半年配,0,1,1,1,1,1,1,6.0,入選,入選,3.2474974889085844,232.33333333333334,14.677808466857067,0.8329237307480616,6.563045316696536,17.48244775295038,填息龜速警示
121,2467,志聖,電子,588.0,303.1645833333333,93.95405410977261,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.702148184752314,144.4,7.333133397108756,0.7456295138560473,72.75486998974097,138.67538205509712,營運動能復甦中
122,3455,由田,電子,257.0,132.05875,94.6103533465219,年配,2,1,1,1,1,1,1,8.0,入選,入選,6.5234922571524745,58.2,7.826891167484189,0.834287612967214,-59.46256372966228,-31.21041869329575,營收衰退警示
123,3357,臺慶科,電子,319.5,159.54083333333332,100.26221082377032,年配,1,1,1,0,1,2,1,7.0,入選,入選,4.874084138273189,25.4,8.936704964893593,0.7570979347805356,11.29024397438545,37.15669321467927,營運動能復甦中
124,5285,界霖,半導體,110.0,54.75375,100.899481770655,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.7655409527680304,20.6,5.71477255107472,0.8820484834458948,1.6446622051188742,15.788770313350442,
125,6449,鈺邦,電子,376.0,186.90416666666667,101.17261519941145,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.4039071349048875,29.2,6.805868000217093,0.8581792916290422,24.66423356857701,34.0633378460885,
126,8091,翔名,半導體,286.0,141.53125,102.07551335835726,年配,1,1,1,1,1,2,1,8.0,入選,入選,4.939278976015738,42.166666666666664,8.24196557936735,0.8867836515065907,38.01272018349595,37.165393253597266,營運動能復甦中
127,8150,南茂,電子,103.0,50.785625,102.81329608526033,年配,1,1,1,1,1,1,1,7.0,入選,入選,5.5255810113232915,173.0,5.930638771755273,1.0561603499952992,25.36536129791198,16.698886367707644,
128,6197,佳必琪,電子,359.5,175.47958625,104.86713450978402,年配,1,1,1,1,1,2,1,8.0,入選,入選,5.301073017686841,33.6,9.521480710601448,0.8450505779148667,20.98043945833816,33.75193807106789,
129,3093,港建*,電子,72.3,35.18859625,105.4642915742909,年配,1,1,1,1,1,1,1,7.0,入選,入選,5.57607550635895,185.8,11.200255043653545,0.9972365824312991,-53.2663448237316,-43.38585729596607,營收衰退警示 | 填息龜速警示
130,6432,今展科,電子,74.9,36.32606416666667,106.18804078623344,年配,1,1,1,1,1,0,1,6.0,入選,入選,4.297957089309276,79.0,4.290543561788736,0.8556624088866684,2.273724534215571,43.45314246468346,營運動能復甦中 | ROA 偏低，注意營運效率
131,6213,聯茂,電子,309.0,147.42131833333332,109.60333518475412,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.4027999294291265,91.8,6.698052150833793,0.9322397211722073,12.433404089452594,4.272616978641364,
132,5425,台半,半導體,132.5,61.14584916666666,116.69500351338924,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.276536987377972,27.8,8.2708118055835,0.9678324183821836,-2.705453069446717,21.31487255970419,營運動能復甦中
133,2493,揚博,電子,265.0,117.50765291666667,125.51722668474284,年配,1,1,1,1,1,2,1,8.0,入選,入選,5.297145457054488,59.4,10.72444587356861,0.9909652232657944,1.1932921714290057,-2.0314749064389237,
134,8261,富鼎,電子,246.5,104.94129541666666,134.89323151699074,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.530783201408434,128.6,7.867107446261175,0.8549885686594804,9.168356827972302,21.534338478971527,營運動能復甦中
135,2484,希華,電子,69.3,28.69502333333333,141.5052923811295,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.193856584955088,95.8,5.443004095205014,0.7124090681438103,-6.6581875249652755,36.54062149007862,營運動能復甦中
136,5289,宜鼎,電子,1795.0,741.5898987500001,142.04752559677445,年配,1,1,1,1,1,2,1,8.0,入選,入選,4.15300520972092,61.4,16.025609766446454,0.9397088212843899,403.39468340141946,35.74738739454513,營運動能復甦中
137,6435,大中,半導體,358.0,141.3518520833333,153.26870127527073,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.8891522879368368,24.6,14.171221214478875,0.8812781882258184,3.9514044611003163,0.4164345860227403,
138,6223,旺矽,半導體,7175.0,2787.8599554166667,157.36586897269888,年配,0,2,1,1,1,1,1,7.0,入選,入選,3.0382024181285887,1.2,8.911291174826353,0.9274565805590687,39.01807086442981,5.468919721624244,極速填息
139,2472,立隆電,電子,361.0,135.45843875,166.50240718207007,年配,1,1,1,1,1,2,1,8.0,入選,入選,4.566892848322798,95.0,9.311626391582559,0.8828916494303757,9.246802266338161,37.72939446650856,營運動能復甦中
140,3624,光頡,電子,147.5,54.96578791666666,168.34874126360918,年配,0,1,1,1,1,1,1,6.0,入選,入選,3.2419386336751983,36.6,6.923684832452426,0.9190225214466103,17.606765805862736,42.552596491403285,營運動能復甦中
141,6147,頎邦,半導體,249.0,87.64833333333333,184.0898286713952,年配,1,1,1,1,1,1,1,7.0,入選,入選,5.854838750377489,134.66666666666666,8.111188453634211,0.877149452702663,11.923103324293049,15.69230856710706,
142,6274,台燿,電子,1765.0,603.3262500000001,192.54487103785053,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.005021672323651,99.16666666666667,8.94758698739967,0.9553618650206944,57.89207749287464,37.97652027686473,營運動能復甦中
143,2478,大毅,電子,240.0,69.03645833333333,247.6423990946813,年配,1,1,1,1,1,1,1,7.0,入選,入選,4.647577818520439,275.6,6.159581166285054,0.8916794501316581,-0.3377041190746888,59.94185466516553,營運動能復甦中 | 填息龜速警示
144,3026,禾伸堂,電子,796.0,178.86166666666668,345.03666707045477,年配,2,1,1,1,1,1,1,8.0,入選,入選,6.185325229320883,439.0,7.586310310040372,0.8508849183254197,6.372156492005376,26.635453461956082,營運動能復甦中 | 填息龜速警示
